LGA,Year,Income
WAROONA,2014-15,51260
WEST ARTHUR,2014-15,44692
WESTONIA,2014-15,51401
WICKEPIN,2014-15,51476
WILLIAMS,2014-15,54135
WILUNA,2014-15,33537
WONGAN-BALLIDU,2014-15,49603
WOODANILLING,2014-15,53016
WYALKATCHEM,2014-15,52838
WYNDHAM-EAST KIMBERLEY,2014-15,54348
YALGOO,2014-15,40787
YILGARN,2014-15,59662
YORK,2014-15,40982
ALBANY,2015-16,43350
ARMADALE,2015-16,52567
ASHBURTON,2015-16,100665
AUGUSTA-MARGARET RIVER,2015-16,38719
BASSENDEAN,2015-16,54718
BAYSWATER,2015-16,51926
BELMONT,2015-16,51466
BEVERLEY,2015-16,39895
BODDINGTON,2015-16,65042
BOYUP BROOK,2015-16,41153
BRIDGETOWN-GREENBUSHES,2015-16,39080
BROOKTON,2015-16,44087
BROOME,2015-16,56276
BROOMEHILL-TAMBELLUP,2015-16,45023
BRUCE ROCK,2015-16,53118
BUNBURY,2015-16,47926
BUSSELTON,2015-16,42695
CAMBRIDGE,2015-16,68275
CANNING,2015-16,46688
CAPEL,2015-16,53528
CARNAMAH,2015-16,42898
CARNARVON,2015-16,44761
CHAPMAN VALLEY,2015-16,54744
CHITTERING,2015-16,48207
CLAREMONT,2015-16,62159
COCKBURN,2015-16,55417
COLLIE,2015-16,50358
COOLGARDIE,2015-16,64132
COOROW,2015-16,41731
CORRIGIN,2015-16,49887
COTTESLOE,2015-16,73724
CRANBROOK,2015-16,36876
CUBALLING,2015-16,47486
CUE,2015-16,29130
CUNDERDIN,2015-16,51236
DALWALLINU,2015-16,53409
DANDARAGAN,2015-16,41500
DARDANUP,2015-16,51653
DENMARK,2015-16,34144
DERBY-WEST KIMBERLEY,2015-16,47286
DONNYBROOK-BALINGUP,2015-16,39025
DOWERIN,2015-16,40697
DUMBLEYUNG,2015-16,47702
DUNDAS,2015-16,47780
EAST FREMANTLE,2015-16,62205
EAST PILBARA,2015-16,76575
ESPERANCE,2015-16,46546
EXMOUTH,2015-16,50600
FREMANTLE,2015-16,54876
GINGIN,2015-16,38359
GNOWANGERUP,2015-16,50934
GOOMALLING,2015-16,42167
GOSNELLS,2015-16,49299
GREATER GERALDTON,2015-16,51081
HALLS CREEK,2015-16,41091
HARVEY,2015-16,50995
IRWIN,2015-16,45686
JERRAMUNGUP,2015-16,44324
JOONDALUP,2015-16,54080
KALAMUNDA,2015-16,54026
KALGOORLIE/BOULDER,2015-16,66773
KARRATHA,2015-16,81933
KATANNING,2015-16,43458
KELLERBERRIN,2015-16,42670
KENT,2015-16,53757
KOJONUP,2015-16,41299
KONDININ,2015-16,48332
KOORDA,2015-16,50991
KULIN,2015-16,50600
KWINANA,2015-16,54093
LAKE GRACE,2015-16,52305
LAVERTON,2015-16,49514
LEONORA,2015-16,65914
MANDURAH,2015-16,47417
MANJIMUP,2015-16,40315
MEEKATHARRA,2015-16,47165
MELVILLE,2015-16,53719
MENZIES,2015-16,34786
MERREDIN,2015-16,50848
MINGENEW,2015-16,39689
MOORA,2015-16,49932
MORAWA,2015-16,43076
MOSMAN PARK,2015-16,61858
MOUNT MAGNET,2015-16,41316
MOUNT MARSHALL,2015-16,53321
MUKINBUDIN,2015-16,48304
MUNDARING,2015-16,51769
MURCHISON,2015-16,76402
MURRAY,2015-16,47546
NANNUP,2015-16,34650
NAREMBEEN,2015-16,45701
NARROGIN,2015-16,47728
NEDLANDS,2015-16,68221
NGAANYATJARRAKU,2015-16,19036
NORTHAM,2015-16,50387
NORTHAMPTON,2015-16,37613
NUNGARIN,2015-16,45760
PEPPERMINT GROVE,2015-16,89795
PERENJORI,2015-16,40512
PERTH,2015-16,52506
PINGELLY,2015-16,39987
PLANTAGENET,2015-16,38015
PORT HEDLAND,2015-16,82349
QUAIRADING,2015-16,53271
RAVENSTHORPE,2015-16,49920
ROCKINGHAM,2015-16,54561
SANDSTONE,2015-16,33964
SERPENTINE-JARRAHDALE,2015-16,55267
SHARK BAY,2015-16,42091
SOUTH PERTH,2015-16,58242
STIRLING,2015-16,53876
SUBIACO,2015-16,64998
SWAN,2015-16,52874
TAMMIN,2015-16,43024
THREE SPRINGS,2015-16,39463
TOODYAY,2015-16,44332
TRAYNING,2015-16,47621
UPPER GASCOYNE,2015-16,59342
VICTORIA PARK,2015-16,52328
VICTORIA PLAINS,2015-16,40004
VINCENT,2015-16,59590
WAGIN,2015-16,43038
WANDERING,2015-16,54923
WANNEROO,2015-16,51673
WAROONA,2015-16,49840
WEST ARTHUR,2015-16,37760
WESTONIA,2015-16,58280
WICKEPIN,2015-16,42822
WILLIAMS,2015-16,46690
WILUNA,2015-16,40086
WONGAN-BALLIDU,2015-16,48650
WOODANILLING,2015-16,48265
WYALKATCHEM,2015-16,46702
WYNDHAM-EAST KIMBERLEY,2015-16,54661
YALGOO,2015-16,39530
YILGARN,2015-16,55840
YORK,2015-16,31452
ALBANY,2016-17,43270
ARMADALE,2016-17,51807
ASHBURTON,2016-17,99988
AUGUSTA-MARGARET RIVER,2016-17,38241
BASSENDEAN,2016-17,54188
BAYSWATER,2016-17,50959
BELMONT,2016-17,50479
BEVERLEY,2016-17,44436
BODDINGTON,2016-17,66199
BOYUP BROOK,2016-17,44506
BRIDGETOWN-GREENBUSHES,2016-17,40448
BROOKTON,2016-17,43123
BROOME,2016-17,54247
BROOMEHILL-TAMBELLUP,2016-17,49292
BRUCE ROCK,2016-17,54306
BUNBURY,2016-17,47059
BUSSELTON,2016-17,42029
CAMBRIDGE,2016-17,67315
CANNING,2016-17,44799
CAPEL,2016-17,52242
CARNAMAH,2016-17,54462
CARNARVON,2016-17,45460
CHAPMAN VALLEY,2016-17,55382
CHITTERING,2016-17,48393
CLAREMONT,2016-17,62245
COCKBURN,2016-17,54166
COLLIE,2016-17,47066
COOLGARDIE,2016-17,63474
COOROW,2016-17,45663
CORRIGIN,2016-17,43244
COTTESLOE,2016-17,73123
CRANBROOK,2016-17,39791
CUBALLING,2016-17,42451
CUE,2016-17,39320
CUNDERDIN,2016-17,51992
DALWALLINU,2016-17,58829
DANDARAGAN,2016-17,41543
DARDANUP,2016-17,50060
DENMARK,2016-17,33414
DERBY-WEST KIMBERLEY,2016-17,46847
DONNYBROOK-BALINGUP,2016-17,37306
DOWERIN,2016-17,40548
DUMBLEYUNG,2016-17,45294
DUNDAS,2016-17,48584
EAST FREMANTLE,2016-17,59570
EAST PILBARA,2016-17,76076
ESPERANCE,2016-17,46776
EXMOUTH,2016-17,49494
FREMANTLE,2016-17,53562
GINGIN,2016-17,37579
GNOWANGERUP,2016-17,53829
GOOMALLING,2016-17,46390
GOSNELLS,2016-17,48076
GREATER GERALDTON,2016-17,50406
HALLS CREEK,2016-17,38267
HARVEY,2016-17,50021
IRWIN,2016-17,43659
JERRAMUNGUP,2016-17,48058
JOONDALUP,2016-17,52796
KALAMUNDA,2016-17,52142
KALGOORLIE/BOULDER,2016-17,66410
KARRATHA,2016-17,78517
KATANNING,2016-17,44811
KELLERBERRIN,2016-17,46386
KENT,2016-17,52515
KOJONUP,2016-17,44851
KONDININ,2016-17,45400
KOORDA,2016-17,54142
KULIN,2016-17,49872
KWINANA,2016-17,53144
LAKE GRACE,2016-17,50222
LAVERTON,2016-17,47844
LEONORA,2016-17,67535
MANDURAH,2016-17,46411
MANJIMUP,2016-17,39250
MEEKATHARRA,2016-17,50201
MELVILLE,2016-17,52607
MENZIES,2016-17,42360
MERREDIN,2016-17,51887
MINGENEW,2016-17,56573
MOORA,2016-17,53263
MORAWA,2016-17,56101
MOSMAN PARK,2016-17,60766
MOUNT MAGNET,2016-17,46078
MOUNT MARSHALL,2016-17,67028
MUKINBUDIN,2016-17,53639
MUNDARING,2016-17,51246
MURCHISON,2016-17,78180
MURRAY,2016-17,47135
NANNUP,2016-17,33577
NAREMBEEN,2016-17,42396
NARROGIN,2016-17,48673
NEDLANDS,2016-17,68874
NGAANYATJARRAKU,2016-17,20005
NORTHAM,2016-17,50106
NORTHAMPTON,2016-17,39801
NUNGARIN,2016-17,44931
PEPPERMINT GROVE,2016-17,85705
PERENJORI,2016-17,49923
PERTH,2016-17,49496
PINGELLY,2016-17,44100
PLANTAGENET,2016-17,39032
PORT HEDLAND,2016-17,81173
QUAIRADING,2016-17,49798
RAVENSTHORPE,2016-17,47815
ROCKINGHAM,2016-17,53318
SANDSTONE,2016-17,36446
SERPENTINE-JARRAHDALE,2016-17,54654
SHARK BAY,2016-17,41478
SOUTH PERTH,2016-17,56053
STIRLING,2016-17,52186
SUBIACO,2016-17,63775
SWAN,2016-17,52108
TAMMIN,2016-17,50790
THREE SPRINGS,2016-17,49095
TOODYAY,2016-17,45756
TRAYNING,2016-17,44550
UPPER GASCOYNE,2016-17,50829
VICTORIA PARK,2016-17,51759
VICTORIA PLAINS,2016-17,49464
VINCENT,2016-17,57850
WAGIN,2016-17,41247
WANDERING,2016-17,63118
WANNEROO,2016-17,50530
WAROONA,2016-17,47979
WEST ARTHUR,2016-17,49635
WESTONIA,2016-17,65900
WICKEPIN,2016-17,45400
WILLIAMS,2016-17,50255
WILUNA,2016-17,40633
WONGAN-BALLIDU,2016-17,51229
WOODANILLING,2016-17,45554
WYALKATCHEM,2016-17,54172
WYNDHAM-EAST KIMBERLEY,2016-17,54817
YALGOO,2016-17,38878
YILGARN,2016-17,53239
YORK,2016-17,32214
ALBANY,2017-18,44489
ARMADALE,2017-18,53059
ASHBURTON,2017-18,97862
AUGUSTA-MARGARET RIVER,2017-18,40000
BASSENDEAN,2017-18,55928
BAYSWATER,2017-18,52156
BELMONT,2017-18,52284
BEVERLEY,2017-18,47565
BODDINGTON,2017-18,67025
BOYUP BROOK,2017-18,42438
BRIDGETOWN-GREENBUSHES,2017-18,41086
BROOKTON,2017-18,49057
BROOME,2017-18,56683
BROOMEHILL-TAMBELLUP,2017-18,51087
BRUCE ROCK,2017-18,57445
BUNBURY,2017-18,47482
BUSSELTON,2017-18,42659
CAMBRIDGE,2017-18,66887
CANNING,2017-18,46130
CAPEL,2017-18,53405
CARNAMAH,2017-18,47701
CARNARVON,2017-18,44728
CHAPMAN VALLEY,2017-18,53191
CHITTERING,2017-18,51746
CLAREMONT,2017-18,61947
COCKBURN,2017-18,55334
